ID,Title,Location,Salary,Summary
6aebabcddef7f514,Field Application Engineer,Nearfield Instruments 대한민국,,"troubleshooting. Preferably to have coding capability (Matlab, Python...etc... data analysis, visualization, and algorithm..."
c130ad24ffc25b72,기술연구소 (AI연구 및 Python개발 / 드론 영상처리),선영종합엔지니어링 고양 덕양구,,어링 기술연구소 (AI연구 및 Python개발 / 드론 영상처리) 채용 4... 프로그래밍 ㆍBig Data 활용 및 Smart plant ㆍR 및 Python 기반 프로그램 개발 ㆍ정부출연사업 제안서 작성 [근무부서 및 직급...
2b2dcd3ffe3d53df,카카오 데이터의 가치를 발굴할 데이터 분석가 모집,카카오 4.0 성남 판교역,,"기술 통계량 이해 및 해석) 데이터 분석 업무를 수행할 수 있는 언어 스킬 필수 SQL 필수 R 또는 Python을 다룰 수 있는 분 (SAS, SPSS, GA, tableau 등 통계 툴만 사용 가능한 경우 제외) 하둡..."
3330430ae94277db,[타다]데이터 분석가/사이언티스트,쏘카 대한민국,,"통계에 대한 지식 및 머신러닝에 대한 지식을 보유하고 있으며, 데이터 분석 실무 경험이 풍부하신 분 • R, Python(Pandas, Numpy, Scikit-learn) 등의 데이터 분석을 위한 언어를 1개 이상 능숙하게..."
3b9924be7b4b6c77,[EY컨설팅] 컨설팅본부 TC Digital 팀 인턴 모집,Ernst & Young 4.0 대한민국,,"역량 (관련 동아리/학회 인력 선호) - SQL 또는 Python 활용 능력 필수 - 대학 과제, 동아리활동, Part-time Job 등을 통해 SQL 또는 Python을 실제 사용해 본 경험 필요 - 컨설팅 업무에..."
afeaf9f2fdda7973,"Engr, Apps Dev 3",KLA-Tencor 대한민국,,"working effectively with different cultures. Matlab/ Python experience is a plus. We offer a competitive, family friendly..."
7e9a745cd8bdcbe3,"Design Consultant, Staff",Synopsys 대한민국,,"industry DFT, MBIST, and ATPG tools •Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
4adac8923476d038,프랭클린템플턴투신운용 Junior Trader (Quant base 필수...,프랭클린템플턴투신 대한민국,,"object-oriented programming and intermediate programming proficiency in Python, R or MATLAB, and SQL are essential. Licenses..."
f91bdb1160ad64d2,"빅데이터, Python 외 신입 정규직",주)씽크풀 서울 영등포구,,"주)씽크풀 빅데이터, Python 외 신입 정규직 채용 모집부문 및 자격요건 담당업무 자격요건 인원 [담당업무] 파이썬( Python) 콘텐츠 알고리즘... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
11e4f0710d52e762,Product Service Expert,Nova Measuring Instruments 경기도 화성,,"SEMI E10, SPC, TRIZ, structured problem solving, DOE, JMP, Python, and data analysis—an advantage Ability to travel—30..."
